Roe, CFL=0.3
32 0.267 0.039 0.087 - - -
64 0.146 0.021 0.047 0.881 0.903 0.898
128 0.076 0.011 0.025 0.947 0.938 0.916
256 0.039 0.006 0.014 0.965 0.877 0.839
Rusanov, CFL=0.3
32 0.261 0.039 0.087 - - -
64 0.145 0.021 0.047 0.858 0.903 0.898
128 0.076 0.011 0.025 0.937 0.938 0.916
256 0.039 0.006 0.014 0.965 0.877 0.839
LLF, CFL=0.3
32 0.261 0.039 0.087 - - -
64 0.145 0.021 0.047 0.858 0.903 0.898
128 0.076 0.011 0.025 0.937 0.938 0.916
256 0.039 0.006 0.014 0.965 0.877 0.839
EO, CFL=0.3
32 0.267 0.039 0.087 - - -
64 0.146 0.021 0.047 0.881 0.903 0.898
128 0.076 0.011 0.025 0.947 0.938 0.916
256 0.039 0.006 0.014 0.965 0.877 0.839
BGP, CFL=0.3
32 0.258 0.040 0.085 - - -
64 0.148 0.021 0.046 0.811 0.940 0.896
128 0.080 0.011 0.025 0.893 0.938 0.885
256 0.041 0.006 0.014 0.967 0.877 0.839
BGP_ch, CFL=0.3
32 0.298 0.040 0.090 - - -
64 0.154 0.023 0.053 0.963 0.807 0.773
128 0.080 0.012 0.027 0.950 0.944 0.979
256 0.041 0.007 0.015 0.967 0.780 0.850
