Roe, CFL=0.3
32 0.580 0.044 0.127 - - -
64 0.875 0.040 0.135 -0.600 0.139 -0.089
128 0.604 0.015 0.062 0.538 1.423 1.129
256 0.546 0.009 0.041 0.146 0.739 0.598
512 0.910 0.006 0.046 -0.738 0.586 -0.166
Rusanov, CFL=0.3
32 0.532 0.051 0.123 - - -
64 0.791 0.042 0.127 -0.579 0.283 -0.047
128 0.553 0.017 0.062 0.519 1.312 1.040
256 0.510 0.010 0.041 0.117 0.768 0.598
512 0.829 0.007 0.044 -0.702 0.515 -0.102
LLF, CFL=0.3
32 0.532 0.051 0.123 - - -
64 0.791 0.042 0.127 -0.579 0.283 -0.047
128 0.553 0.017 0.062 0.519 1.312 1.040
256 0.510 0.010 0.041 0.117 0.768 0.598
512 0.829 0.007 0.044 -0.702 0.515 -0.102
EO, CFL=0.3
32 0.580 0.044 0.127 - - -
64 0.875 0.040 0.135 -0.600 0.139 -0.089
128 0.604 0.015 0.062 0.538 1.423 1.129
256 0.546 0.009 0.041 0.146 0.739 0.598
512 0.910 0.006 0.046 -0.738 0.586 -0.166
BGP, CFL=0.3
32 0.516 0.083 0.146 - - -
64 0.592 0.061 0.127 -0.200 0.449 0.203
128 0.617 0.038 0.088 -0.060 0.687 0.532
256 0.449 0.022 0.058 0.460 0.791 0.603
512 0.739 0.014 0.050 -0.720 0.653 0.214
BGP_ch, CFL=0.3
32 0.495 0.081 0.141 - - -
64 0.592 0.058 0.122 -0.261 0.487 0.211
128 0.505 0.036 0.081 0.231 0.692 0.594
256 0.449 0.022 0.057 0.170 0.712 0.508
512 0.609 0.014 0.044 -0.440 0.653 0.374
